,artist_name,album_name,release_date,total_tracks
14,2 Unlimited,Get Ready Steve Aoki Part 1,2013-11-07,4
15,2 Unlimited,Get Ready Steve Aoki Part 2,2013-11-07,2
16,2 Unlimited,Get Ready (Steve Aoki Radio Mixes),2013-11-04,2
17,2 Unlimited,Get Ready (Including Steve Aoki Remixes),2013-10-28,4
18,2 Unlimited,Get Ready (2013 Remastered),2013-09-25,2
19,2 Unlimited,Get Ready (2013 Versions),2013-09-18,2
0,Dr. Alban,Back To Basics,2007-01-01,13
1,Dr. Alban,Prescription,2000,12
2,Dr. Alban,It'S My Life,1998-05-11,16
4,Dr. Alban,I Believe,1997-01-01,17
5,Dr. Alban,Born In Africa,1996-03-28,15
7,Dr. Alban,Look Who'S Talking,1993-03-29,13
9,Dr. Alban,One Love,1992-11-30,12
13,Dr. Alban,Hello Afrika,1991-02-18,11
15,Basic Element,Life Is Now (Feat. Elize Ryd),2022-12-09,2
16,Dr. Alban,Change (I Have A Dream),2022-04-29,1
17,Admiral C4C,Moving On,2022-02-04,1
19,Urbanphoenix,It'S My Life ( Deep Mix),2021-04-18,1
0,Whigfield,Dance With Whigfield - Megamix,2022-04-15,12
1,Whigfield,Suga - The Remixes,2020-03-30,10
2,Whigfield,W Extra Edition Pro,2012-12-21,16
3,Whigfield,W Extra Edition,2012-12-14,8
4,Whigfield,W Pro,2012-10-05,16
5,Whigfield,W,2012-09-28,8
6,Whigfield,All In One,2007-10-09,12
7,Whigfield,Think Of You,2007-01-01,15
9,Whigfield,Whigfield Mega Mixes,2004-03-06,18
10,Whigfield,Eurodance,2003-11-30,18
11,Whigfield,Whigfield 4,2002-07-05,15
12,Whigfield,Whigfield 3,1999-09-10,11
13,Whigfield,Whigfield 2,1998-01-16,12
14,Whigfield,Mixes & Re-Mixes,1996-03-04,12
15,Whigfield,Special Edition (Remixes & Xtratrax),1995-12-04,9
16,Whigfield,Whigfield,1995-09-19,10
17,Whigfield,Whigfield 1,1995-05-04,11
18,S3RL,Sexy Eyes (S3Rl Remix),2022-06-03,1
0,G.E.M.,I Feel You Tonight,1994-05-01,6
1,Jack Smeraglia,I Feel You Tonight 2012,2012-03-20,8
2,Jack Smeraglia,Yo Te Siento Así,2012-03-20,8
3,G.E.M.,Alma Latina,1997-05-02,6
4,G.E.M.,Batufest Medley Como El Viento (Feat. Martina),1996-01-01,4
5,G.E.M.,Quiero Volar,1995-03-01,5
6,G.E.M.,Yo Te Siento Asi (Uk Remix),1994-12-05,4
